Order NO,Order Date,Month/Yr,Day of Week,Pie Flavor,Quantity,Cost,Slice Or Whole Pie,Pre-Order/In-Store Purchase,Organic?
10001,19-12-2019,01-12-2019,Thursday,Apple,5,12.5,Slice,Pre-Order,No
10002,19-12-2019,01-12-2019,Thursday,Apple,3,60,Whole,In-Store,Yes
10003,19-12-2019,01-12-2019,Thursday,Apple,3,60,Whole,In-Store,No
10004,19-12-2019,01-12-2019,Thursday,Apple,4,80,Whole,Pre-Order,No
10005,19-12-2019,01-12-2019,Thursday,Apple,2,40,Whole,In-Store,No
10006,19-12-2019,01-12-2019,Thursday,Apple,3,60,Whole,Pre-Order,No
10007,19-12-2019,01-12-2019,Thursday,Apple,3,60,Whole,Pre-Order,No
10008,19-12-2019,01-12-2019,Thursday,Apple,5,12.5,Slice,Pre-Order,Yes
10009,22-12-2020,01-12-2020,Tuesday,Cherry,3,60,Whole,In-Store,No
10010,22-12-2020,01-12-2020,Tuesday,Strawberry Rhubarb,1,2.5,Slice,In-Store,No
10011,22-12-2020,01-12-2020,Tuesday,Cherry,4,10,Slice,Pre-Order,Yes
10012,22-12-2020,01-12-2020,Tuesday,Strawberry Rhubarb,1,2.5,Slice,Pre-Order,Yes
10013,22-12-2020,01-12-2020,Tuesday,Cherry,2,5,Slice,In-Store,Yes
10014,22-12-2020,01-12-2020,Tuesday,Cherry,1,20,Whole,In-Store,Yes
10015,22-12-2020,01-12-2020,Tuesday,Apple,4,80,Whole,Pre-Order,Yes
10016,22-12-2020,01-12-2020,Tuesday,Cherry,4,80,Whole,In-Store,Yes
10017,22-12-2020,01-12-2020,Tuesday,Strawberry Rhubarb,3,60,Whole,Pre-Order,Yes
10018,22-12-2020,01-12-2020,Tuesday,Apple,1,20,Whole,Pre-Order,Yes
10019,22-12-2020,01-12-2020,Tuesday,Apple,5,100,Whole,Pre-Order,Yes
10020,22-05-2021,01-05-2021,Saturday,Fudge,5,12.5,Slice,Pre-Order,Yes
10021,22-05-2021,01-05-2021,Saturday,Apple,3,60,Whole,In-Store,Yes
10022,22-05-2021,01-05-2021,Saturday,Apple,4,80,Whole,In-Store,Yes
10023,22-05-2021,01-05-2021,Saturday,Fudge,2,40,Whole,In-Store,Yes
10024,22-05-2021,01-05-2021,Saturday,Fudge,4,80,Whole,In-Store,Yes
10025,22-05-2021,01-05-2021,Saturday,Apple,1,2.5,Slice,Pre-Order,Yes
10026,22-05-2021,01-05-2021,Saturday,Fudge,1,2.5,Slice,Pre-Order,Yes
10027,22-05-2021,01-05-2021,Saturday,Pumpkin,2,40,Whole,Pre-Order,Yes
10028,22-05-2021,01-05-2021,Saturday,Fudge,4,10,Slice,In-Store,Yes
10029,22-05-2021,01-05-2021,Saturday,Fudge,5,12.5,Slice,Pre-Order,Yes
10030,22-05-2021,01-05-2021,Saturday,Fudge,4,10,Slice,Pre-Order,Yes
10031,22-05-2021,01-05-2021,Saturday,Fudge,4,10,Slice,In-Store,Yes
10032,22-05-2021,01-05-2021,Saturday,Pumpkin,5,100,Whole,Pre-Order,Yes
10033,22-05-2021,01-05-2021,Saturday,Blueberry,1,20,Whole,In-Store,Yes
10034,01-11-2021,01-11-2021,Monday,Apple,3,7.5,Slice,Pre-Order,Yes
10035,01-11-2021,01-11-2021,Monday,Apple,5,12.5,Slice,Pre-Order,Yes
10036,01-11-2021,01-11-2021,Monday,Apple,5,12.5,Slice,Pre-Order,Yes
10037,01-11-2021,01-11-2021,Monday,Apple,5,12.5,Slice,In-Store,Yes
10038,01-11-2021,01-11-2021,Monday,Apple,4,10,Slice,Pre-Order,Yes
10039,01-11-2021,01-11-2021,Monday,Apple,3,7.5,Slice,In-Store,Yes
10040,01-11-2021,01-11-2021,Monday,Apple,3,60,Whole,Pre-Order,Yes
10041,01-11-2021,01-11-2021,Monday,Apple,3,60,Whole,Pre-Order,Yes
10042,01-11-2021,01-11-2021,Monday,Apple,4,10,Slice,Pre-Order,Yes
10043,01-11-2021,01-11-2021,Monday,Cherry,4,80,Whole,Pre-Order,Yes
10044,01-11-2021,01-11-2021,Monday,Fudge,4,80,Whole,In-Store,Yes
10045,01-11-2021,01-11-2021,Monday,Pumpkin,1,20,Whole,In-Store,Yes
10046,01-11-2021,01-11-2021,Monday,Strawberry Rhubarb,3,60,Whole,Pre-Order,Yes
10047,18-11-2020,01-11-2020,Wednesday,Strawberry Rhubarb,1,20,Whole,Pre-Order,Yes
10048,18-11-2020,01-11-2020,Wednesday,Cherry,4,10,Slice,Pre-Order,Yes
10049,18-11-2020,01-11-2020,Wednesday,Cherry,4,10,Slice,Pre-Order,Yes
10050,18-11-2020,01-11-2020,Wednesday,Apple,4,80,Whole,Pre-Order,Yes
10051,18-11-2020,01-11-2020,Wednesday,Cherry,3,60,Whole,Pre-Order,Yes
10052,18-11-2020,01-11-2020,Wednesday,Strawberry Rhubarb,1,2.5,Slice,Pre-Order,Yes
10053,18-11-2021,01-11-2021,Wednesday,Pumpkin,2,40,Whole,Pre-Order,Yes
10054,18-11-2021,01-11-2021,Wednesday,Fudge,4,80,Whole,Pre-Order,Yes
10055,18-11-2021,01-11-2021,Wednesday,Pumpkin,5,100,Whole,Pre-Order,Yes
10056,18-11-2021,01-11-2021,Wednesday,Pumpkin,3,60,Whole,In-Store,Yes
10057,18-11-2021,01-11-2021,Wednesday,Blueberry,2,40,Whole,Pre-Order,Yes
10058,18-11-2021,01-11-2021,Wednesday,Fudge,3,7.5,Slice,Pre-Order,Yes
10059,18-11-2021,01-11-2021,Wednesday,Fudge,1,20,Whole,Pre-Order,Yes
10060,18-11-2021,01-11-2021,Wednesday,Fudge,2,5,Slice,Pre-Order,Yes
10061,18-11-2021,01-11-2021,Wednesday,Blueberry,4,80,Whole,Pre-Order,Yes
10062,18-11-2021,01-11-2021,Wednesday,Pumpkin,1,20,Whole,In-Store,Yes
10063,18-11-2021,01-11-2021,Wednesday,Fudge,2,40,Whole,In-Store,Yes
10064,18-11-2021,01-11-2021,Wednesday,Fudge,3,60,Whole,In-Store,Yes
10065,18-11-2021,01-11-2021,Wednesday,Apple,5,100,Whole,Pre-Order,Yes
10066,18-11-2021,01-11-2021,Wednesday,Apple,1,20,Whole,Pre-Order,Yes
10067,18-11-2021,01-11-2021,Wednesday,Blueberry,3,60,Whole,In-Store,Yes
10068,18-11-2021,01-11-2021,Wednesday,Apple,3,60,Whole,Pre-Order,Yes
10069,01-07-2021,01-07-2021,Thursday,Strawberry Rhubarb,2,5,Slice,In-Store,Yes
10070,01-07-2021,01-07-2021,Thursday,Blueberry,1,20,Whole,Pre-Order,Yes
